Clave Subsistemas Nacionales de Información	Subsistemas Nacionales de Información	Nombre de la base y/o conjunto de datos	Nombre de la tabla de la base de datos / hoja del conjunto de datos	Descripción del conjunto de datos	Clave de campo	Descripción de Campo	Tipo de dato	Rango o valores que permite el campo	Clasificación de la información	Especificaciones y/o reglas de cálculo	Obligatoriedad del campo	Registro de campos vacíos	Tipo de archivo
1	Vivienda	ri_6	Viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	Porcentaje de viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	cve_ent	"Clave de la entidad de acuerdo al Catálogo Único de Claves de Áreas Geoestadísticas Estatales, Municipales y Localidades"	Alfanumérico	"Catálogo Único de Claves de Áreas Geoestadísticas Estatales, Municipales y Localidades"	Pública	El código debe tener dos dígitos	Obligatorio	Sin datos vacíos	Shape (.shp)
1	Vivienda	ri_6	Viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	Porcentaje de viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	alcaldia	"Nombre de la alcaldía de acuerdo al Catálogo Único de Claves de Áreas Geoestadísticas Estatales, Municipales y Localidades"	Alfanumérico	"Catálogo Único de Claves de Áreas Geoestadísticas Estatales, Municipales y Localidades"	Pública	Texto	Obligatorio	Sin datos vacíos	Shape (.shp)
1	Vivienda	ri_6	Viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	Porcentaje de viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	cve_col	Clave de colonia	Alfanumérico	Catálogo de Colonias Instituto Electoral (IECM)	Pública	El código debe tener cinco caracteres	Obligatorio	Sin datos vacíos	Shape (.shp)
1	Vivienda	ri_6	Viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	Porcentaje de viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	colonia	Nombre de la colonia	Alfanumérico	Catálogo de Colonias Instituto Electoral (IECM)	Pública	Texto	Obligatorio	Sin datos vacíos	Shape (.shp)
1	Vivienda	ri_6	Viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	Porcentaje de viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	BA1_NoEqSa	Total de Equipamientos de salud de primer nivel	Número entero	0 a 12	Pública		Obligatorio	Sin datos vacíos	Shape (.shp)
1	Vivienda	ri_6	Viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	Porcentaje de viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	BA1_C_NoEq	"Reclasificación en cuantiles en 5 rangos a partir de ""BA1_NoEqSa"""	Número entero	"1 = Muy bajo
2 = Bajo
3 = Medio
4 = Alto
5 = Muy alto"	Pública	Reclasificación en cuantiles	Obligatorio	Sin datos vacíos	Shape (.shp)
1	Vivienda	ri_6	Viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	Porcentaje de viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	BA8_NoMerc	Número de mercados por colonia	Número entero	0 a 9	Pública		Obligatorio	Sin datos vacíos	Shape (.shp)
1	Vivienda	ri_6	Viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	Porcentaje de viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	BA8_NoLoca	Número de locales por colonia	Número entero	0 a 6038	Pública		Obligatorio	Sin datos vacíos	Shape (.shp)
1	Vivienda	ri_6	Viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	Porcentaje de viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	BA8_Ci_NoM	"Reclasificación en cuantiles en 5 rangos a partir del campo ""BA8_NoMerc""; donde el valor ""5"" corresponde a colonias sin mercados mientras que el ""1"" a colonias con mayor número de mercados"	Número entero	"1 = Muy bajo
2 = Bajo
3 = Medio
4 = Alto
5 = Muy alto"	Pública	Reclasificación en cuantiles	Obligatorio	Sin datos vacíos	Shape (.shp)
1	Vivienda	ri_6	Viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	Porcentaje de viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	BA8_Ci_Loc	"Reclasificación en cuantiles en 5 rangos a partir del campo ""BA8_NoLoca""; donde el valor ""5"" corresponde a colonias sin locales mientras que el ""1"" a colonias con mayor número de locales"	Número entero	"1 = Muy bajo
2 = Bajo
3 = Medio
4 = Alto
5 = Muy alto"	Pública	Reclasificación en cuantiles	Obligatorio	Sin datos vacíos	Shape (.shp)
1	Vivienda	ri_6	Viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	Porcentaje de viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	BA8_S_Merc	"Suma numérica de los campos ""BA8_Ci_Nom"" y ""BA8_Ci_Loc"""	Número entero	2 a 10	Pública	Agrupación de campos con el objetivo de reconocer zonas con carencias	Obligatorio	Sin datos vacíos	Shape (.shp)
1	Vivienda	ri_6	Viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	Porcentaje de viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	BA8_C_Merc	"Reclasificación en cuantiles en 5 rangos a partir ""BA8_S_Merc""; donde el valor ""5"" representa las colonias con menor número de mercados y locales, mientras el ""1"" corresponde a colonias con mayor número"	Número entero	"1 = Muy bajo
2 = Bajo
3 = Medio
4 = Alto
5 = Muy alto"	Pública	Reclasificación en cuantiles	Obligatorio	Sin datos vacíos	Shape (.shp)
1	Vivienda	ri_6	Viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	Porcentaje de viviendas con servicios básicos y número de elementos de equipamiento de primer nivel	BA9_No_Gua	Número de guarderías por colonia	Número entero	0 a 4	Pública		Obligatorio	Sin datos vacíos	Shape (.shp)
