stop_id,stop_name,grupo_stop_id
B_040010-TULIPAN,Tulipán,0
B_0501590-CALZIZTATULIP,Calz. Ermita Iztapalapa - Tulipan,0
B_05001D0-EIZTATULIPAN,Calz. Ermita Iztapalapa - Tulipan,0
B_05019A1-CTOMOPRIETO,Circuito Interior Melchor Ocampo - Guillermo Prieto,1
B_CONGE0-MOCAMPO83,Melchor Ocampo  83,1
B_CONGE1-GMOPRIETO,Guillermo Prieto,1
B_01020A00-CIRGPRIETO,Circuito Interior - Guillermo Prieto,1
B_0501070-JBARRERA,Juan de la Barrera,2
B_0300L4-20NOVIEMBR,20 de Noviembre,3
B_010C1901-EJ1AS20NOVIE,Eje 1A Sur José María Izazaga - 20 de Noviembre,4
B_05145A0-20NOVJMIZAZAG,20 de Noviembre - José María Izazaga,4
B_010241-IZAZG5FEB,Sobre J. M. Izazaga y  5 de Febrero,4
B_05SEL1-PINSD,Pino Suárez,4
B_0300L4-PINOSRZSR,Pino Suárez Sur,4
B_0300L4-SANPABLO,San Pablo,5
B_010Z4H01-BMPINOSURZ,Base Metro Pino Suárez y,5
B_010C1900-EJ1SXOCONG,Eje 1 Sur Fray Servando Teresa de Mier - Xocongo,6
B_010240-FRAYXOCON,Sobre Fray Servando Teresa de Mier y Xocongo,6
B_010Z4H01-MEDMILFSTMIER,Escuela Médico Militar y Eje 1 Sur Fray Servando Teresa de Mier,6
B_0300L4-FRAYSERVND,Fray Servando,6
B_0300L4-MSONORASUR,Mercado Sonora Sur,7
B_0100C500-VIGASERVAN,La Viga y Fray Servando,7
B_0500330-CIRCUNFRAYS,Anillo de Circunvalación - Fray Servando Teresa de Mier,7
B_010C1900-EJ1SEJ1OTE,Eje 1 Sur Fray Servando Teresa de Mier - Eje 1 Oriente Anillo de Circunvalación,7
B_010C1900-EJ1SMSONORA,Eje 1 Sur Fray Servando Teresa de Mier - Mercado Sonora,7
B_010Z4A00-E1SFRASETMIE,Eje 1 Ote. Anillo de Circunvalación y Eje 1 Sur Fray Servando Teresa de Mier,7
B_0500331-CNLFRYMIER,Av. Canal - Fray Servando Teresa de Mier,7
B_0501261-MCOPILCO,Metro Copilco,8
B_0200L3-COPILCO,Copilco,8
B_0501280-EJ10SLMATEOS,eje 10 Sur - Blvd. Adolfo López Mateos,9
B_05034B1-EJ10SPERIFER,Eje 10 Sur - Anillo Periférico,9
B_0501261-PERFCOSUR,Periférico Sur,9
B_0100C101-PERIFJERONIM,Periférico - Eje 10 Sur San Jerónimo Lídice,9
B_05123A0-AVSANJERONIM,Av. San Jerónimo,9
B_0501261-POLLITOS,Los Pollitos,10
B_05123A1-PRIVFERROCUE,Privada Ferrocarril a Cuernavaca,10
B_05123A0-PPRIVFERRCUE,Privada Ferrocarril a Cuernavaca,10
B_0501261-JMORNSALID,José Moreno Salido,11
B_0501260-ESTACION,La Estación,11
B_0501261-LALOMA,La Loma,12
B_0501260-CICLOPSTA,Ciclopista,12
B_0501261-MAGDALNC,Alcaldía Magdalena Contreras,13
B_0501260-ADORHILDA,Andador Hilda,13
B_0501261-AVSNFCO,Av. San Francisco,14
B_0501260-CCCONTRS,C. C. Contreras,15
B_0501260-PLZARTZ,Plaza Artz,16
B_05123A1-CDAREDENCION,Cerrada Redención,17
B_0501260-SAMS,SAMS,17
B_05052C0-ERMSANTIAGO,Calz. Ermita Iztapalapa - Santiago,18
B_040010-ACAHUALT,Acahualtepec,18
B_05162B1-EIZT5FEBRE,Calz. Ermita Iztapalapa - 5 de Febrero,19
B_040010-ACATITL,Acatitlán,19
B_0501611-CALZIZTAEJE6S,Calz. Ermita Iztapalapa - Eje 6 Sur Av. de las Torres,20
B_05046C1-EJ6SIZTAPALA,eje 6 Sur Av. de las Torres - Eje 8 Sur Calz. Ermita Iztapalapa ,20
B_040010-TECOLOXT,Tecoloxtitlán,20
B_040010-IZTAHUAT,Iztahuatzín,21
B_0501611-CALZIZTAMINAS,Calz. Ermita Iztapalapa - Camino a Minas,22
B_05161C0-MINASEJ8SIZTA,Camino a Minas - Eje 8 Sur Calz. Ermita Iztapalapa,22
B_040010-ATZINTLI,Atzintlí,22
B_0501590-PALMITASERMIT,Palmitas - Ermita Iztapalapa,23
B_040010-AZTAHUAC,Aztahuacán,23
B_05052C0-ERMJALISCO,Calz. Ermita Iztapalapa - Jalisco,23
B_0501591-CALZIZTAPALMI,Calz. Ermita Iztapalapa - Palmitas,23
B_0501590-CALZIZTAJALIS,Calz. Ermita Iztapalapa - Jalisco,23
B_0501590-CALZIZTATINAC,Calz. Ermita Iztapalapa - Tinacos,24
B_0501591-CALZIZTAPOZO,Calz. Ermita Iztapalapa - Pozos,24
B_040010-PAPALOTL,Papalotl,24
B_040010-MEYEHUAL,Meyehualco,25
B_0501591-CALZIZTACUIT,Calz. Ermita Iztapalapa - Cuitlahuac,25
B_0501590-CALZIZTA39,Calz. Ermita Iztapalapa - Calle 39,25
B_0501611-CALZIZTAPEGA,Calz. Ermita Iztapalapa - Hotel Pegaso (Hidalgo),26
B_040010-DVOSTACRUZ,Dvo. Santa Cruz,26
B_0200L8-CONST1917,Constitución de 1917,27
B_05052C0-ERMCONST1917,Calz. Ermita Iztapalapa - Metro Constitución de 1917,27
B_05165A0-C1917CEIZTAPA,C. C. Constitución de 1917 - Calz. Ermita Iztapalapa Entre Hortencia y Periferico,27
B_040010-CONST1917,Constitución de 1917,27
B_0501590-CONST1917AND,C. C. Metro Constitución de 1917 - Cetram Constitución de 1917 Anden B,27
B_0100C401-CONTITUCION,Base Cetram Constitución,27
B_0200L9-PANTITLAN,Pantitlán,28
B_0200LA-PANTITLAN,Pantitlán,28
B_0100L1-PANTITLAN,Pantitlán,28
B_090R11-PFILOSOFIA,Posgrado de Filosofía,29
B_090R11-AAPAUNAM,AAPAUNAM,30
B_090R11-DIRGRALOBRAS,Dirección General de Obras y Proveeduría,31
B_090R11-RELABORALES,Relaciones Laborales,32
B_01021B01-ESTADIOCU,Estadio CU (BASE),32
B_0900R6-BASESTADOLIM,Base Estadio Olímpico,32
B_0900R8-IIMAS,IIMAS,33
B_0900R1-FQUIMICA,Facultad de Química,33
B_0900R8-FRONTONES,Frontones,34
B_0900R1-ENALLT,ENALLT (CELE),34
B_0900R1-FINGENIERIA,Facultad de Ingeniería,35
B_0900R8-INGENIERIA,Ingeniería,35
B_0900R1-FARQUITECTU,Facultad de Arquitectura,36
B_0900R8-ALBERCA,Alberca,36
B_0900R8-CTROMEDICO,Centro Médico,37
B_0900R6-CNOVERDE,Camino Verde,38
B_0900R2-FCIENCIASPRO,Facultad de Ciencias Profesores,38
B_0900R6-ICIENTIFICA,Investigación Científica,39
B_0900R6-ANEXOINGENI,Anexo de Ingeniería,39
B_0900R6-INVERNADERO,Invernadero,40
B_0900R6-CIENCIASMAR,Ciencias del Mar,40
B_0900R6-MBCU,Metrobús CU,41
B_0900R6-IBIOMEDICAS,Investigaciones Biomédicas,41
B_0300L1-CU,Ciudad Universitaria,41
B_0900R6-PUMITAS2,Pumitas,42
B_0900R6-PUMITAS,Pumitas,42
B_0900R6-PISTACALEN,Pista de Calentamiento I,43
B_0900R6-PISTACALEN2,Pista de Calentamiento II,43
B_0900R6-ESTACIONAMT2,Estacionamiento 2,44
B_0900R6-ESTACIONAMT3,Estacionamiento 3,45
B_0900R6-ESTACIONAMT4,Estacionamiento 4,46
B_0900R6-ESTACIONAMT6,Estacionamiento 6,47
B_0900R6-ESTACIONAMT7,Estacionamiento 7,48
B_0900R6-ESTACIONMT8,Estacionamiento 8,49
B_0900R6-MUCA,MUCA,50
B_0900R1-PSICOLOGIA,Psicología,51
B_0900R5-FPSICOLOGIA,Facultad de Psicología,51
B_0900R1-FILOSOFIA,Facultad de Filosofía,52
B_0900R5-FILOSOFIA,Filosofía,52
B_0900R1-FDERECHO,Facultad de Derecho,53
B_0900R5-DERECHO,Derecho,53
B_0900R5-AVUNIVERSIDAD,Av. Universidad,54
B_0900R5-ECONOMIA,Economía,55
B_0900R1-FECONOMIA,Facultad de Economía,55
B_0900R1-FODONTOLOG,Facultad de Odontología,56
B_0900R5-ODONTOLOGIA,Odontología,56
B_0900R5-MEDICINA,Medicina,57
B_0900R4-CAMPOSFUT2,Campos de Futbol II,58
B_0900R4-CAMPOSFUT1,Campos de Futbol I,58
B_0900R4-JARDINBOTANIC,Jardín Botánico,59
B_0900R4-ESTADIOPRACT,Estadio de Prácticas,60
